Number,Title,Link to paper,Year,Code?,Data?,Compare to non-DL?,Venue,SE task,Method,Hyperparam tuning,,,,,
54,Towards synthesizing complex programs from input-output examples.,https://arxiv.org/pdf/1706.01284.pdf,2018,No,No,No,ICLR,Code Synthesis,Sequence,none,,,,,
55,On the naturalness of proofs,https://dl.acm.org/doi/pdf/10.1145/3236024.3264832?casa_token=CiFtMhJKylUAAAAA:yx7WYCcqJEbc_OA3TtqbTtPit6pGvULcO4Ta5ZEkpZUBBkGIRQC0tQqnhS1ZPOu--giFcsGSK7uRojE,2018,Yes,Yes,Yes,FSE,Code Synthesis,Sequence,none,,,,,
56,Automatic categorization with deep neural network for open-source java projects,https://ieeexplore.ieee.org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=7965290,2017,No,No,Yes,ICSE-C,Software Categorization,DNN,none,,,,,
57,"Chen, Zimin, et al. ""Sequencer: Sequence-to-sequence learning for end-to-end program repair",https://ieeexplore.ieee.org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8827954,2021,Yes,Yes,No,TSE,Program Repair/Bug Fix,Sequence,grid search,,,,,
,,,,,,,,,Attention,,,,,,
58,Combining symbolic expressions and black-box function evaluations in neural programs,https://arxiv.org/abs/1801.04342,2018,Yes,Yes,No,ICLR,Software Categorization,Sequence,none,,,,,
59,Automatic program synthesis of long programs with a learned garbage collector.,https://arxiv.org/pdf/1809.04682.pdf,2018,Yes,No,No,NeurIPS,Code Synthesis,Embedding,none,,,,,
60,Improving neural program synthesis with inferred execution traces,https://papers.nips.cc/paper/8107-improving-neural-program-synthesis-with-inferred-execution-traces.pdf,2018,No,Yes,No,NeurIPS,Code Synthesis,Sequence,none,,,,,
61,Library Learning for Neurally-Guided Bayesian Program Induction,https://papers.nips.cc/paper/8006-learning-libraries-of-subroutines-for-neurallyguided-bayesian-program-induction,2018,No,No,No,NeurIPS,Code Synthesis,Other,none,,,,,
62,Learning to infer graphics programs from hand-drawn images,https://papers.nips.cc/paper/7845-learning-to-infer-graphics-programs-from-hand-drawn-images.pdf,2018,Yes,Yes,No,NeurIPS,Code Synthesis,Convolutional,none,,,,,
,,,,,,,,,Attention,,,,,,
63,Deep learning based feature envy detection,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8999996,2018,Yes,Yes,Yes,ASE,Feature Envy Detection,Convolutional,cross validation,,,,,
64,Learning a dual-language vector space for domain-specific cross-lingual question retrieval,https://ieeexplore.ieee.org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=7582810,2016,No,No,Yes,ASE,language model,Convolutional,none,,,,,
65,Tree-to-tree neural networks for program translation,https://arxiv.org/pdf/1802.03691.pdf,2018,No,No,No,NeurIPS,code comprehension,Sequence,grid search,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Sequence,,,,,,
66,Summarizing Source Code with Transferred API Knowledge,https://www.ijcai.org/Proceedings/2018/0314.pdf,2018,Yes,Yes,Yes,IJCAI,code comprehension,Sequence,none,,,,,
67,Neuro-symbolic program corrector for introductory programming assignments,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8453063,2018,No,No,Yes,ICSE,Program Repair,Sequence,none,,,,,
68,Dynamic neural program em- bedding for program repair,https://arxiv.org/pdf/1711.07163.pdf,2018,Yes,No,No,ICLR,Program Repair,Sequence,none,,,,,
69,Learning to repair software vul- nerabilities with generative adversarial networks,https://papers.nips.cc/paper/8018-learning-to-repair-software-vulnerabilities-with-generative-adversarial-networks.pdf,2018,No,No,No,NeurIPS,Program Repair,Other,unspecified,,,,,
70,Predicting semantically linkable knowledge in developer online forums via convolutional neural network,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7582745,2016,No,Yes,Yes,ASE,language processing,Convolutional,grid search,,,,,
,,,,,,,,,Embedding,,,,,,
71,An empirical study on learning bug-fixing patches in the wild via neural machine translation.,https://arxiv.org/pdf/1812.08693.pdf,2019,No,No,Yes,TOSEM,Program Repair,Sequence,none,,,,,
72,Deep API Learning,https://arxiv.org/pdf/1605.08535.pdf,2016,Yes,No,Yes,FSE,Code Synthesis,Sequence,none,,,,,
73,Domain adaptation for test report classification in crowdsourced testing,https://ece.uwaterloo.ca/~s446wang/paper/icse-17.pdf,2017,No,No,Yes,ICSE,language processing,Sequence,grid search,,,,,
74,Combiningdeep learning with information retrieval to localize buggy files for bug reports.,https://ieeexplore.ieee.org/document/7372035,2015,No,Yes,Yes,ASE,bug localization,Other,none,,,,,
,,,,,,,,,Feedforward,,,,,,
75,Convolutional neural networks over tree structures for programming languageprocessing,https://arxiv.org/pdf/1409.5718.pdf,2016,No,No,Yes,AAAI,language processing,Convolutional,dev set,,,,,
76,Code completion with statistical language models,http://www.cs.technion.ac.il/~yahave/papers/pldi14-statistical.pdf,2014,No,No,Yes,PLDI,language model,Sequence,none,,,,,
77,Toward deep learning software repositories,http://www.cs.wm.edu/~denys/pubs/MSR'15-DeepLearning-CRC.pdf,2015,No,No,Yes,MSR,language model,Sequence,dev set,,,,,
78,Predicting semantically linkable knowledge in developer online forums via convolutional neural network.,https://www.bowenxu.me/publications/ASE2016.pdf,2016,No,Yes,Yes,ASE,language processing,word2vec,none,,,,,
,,,,,,,,,Convolutional,,,,,,
79,A deep language model for software code,https://arxiv.org/pdf/1608.02715.pdf,2016,No,No,Yes,FSE,language model,Sequence,dev set,,,,,
81,Summarizing Source Code using a Neural Attention Model,https://www.aclweb.org/anthology/P16-1195.pdf,2016,Yes,Yes,Yes,ACL,code comprehension,Sequence,none,,,,,
82,Code Completion with Neural Attention and Pointer Networks,https://www.ijcai.org/Proceedings/2018/0578.pdf,2018,No,Yes,No,IJCAI,Code Synthesis,Sequence,none,,,,,
83,Semi-Supervised Recursive Autoencodersfor Predicting Sentiment Distributions,https://ai.stanford.edu/~ang/papers/emnlp11-RecursiveAutoencodersSentimentDistributions.pdf,2011,Yes,Yes,Yes,EMNLP,language processing,Sequence,dev set,,,,,
84,Sentiment analysis for software engineering: How far can we go?,https://dl.acm.org/doi/pdf/10.1145/3180155.3180195?casa_token=z3yPQzxGfuwAAAAA:mz87cg1F6euMMm7REdkBwm05dt138E-K-9UF90AlAZ00QMtWKNJi53yC2yD-X9cLdqIQkKlmuciBKX8,2018,Yes,Yes,Yes,ICSE,language processing,Sequence,none,,,,,
85,500+ times faster than deep learning: A case study exploring faster methods for text mining stackoverflow,https://dl.acm.org/doi/pdf/10.1145/3196398.3196424?casa_token=S_n1uvqG6jwAAAAA:xzzZ5O2KaJxkd-iDoLpvuhOdceR7xTnTnVM_NkmXtGhitHq647rUmsxJnV3NciCQMPqmLLJg20tqH9A,2018,,,Yes,MSR,language processing,Convolutional,DE,,,,,
86,On the adoption of neural networks in modeling software reliability,https://dl.acm.org/doi/pdf/10.1145/3236024.3275433?casa_token=4jCmURQNfDEAAAAA:kAVIqR5GsJi2TFREhroll2z_wKzXfb5gt4DHVDiFc0QeNLShZ0BgxVoTleayUXpHIgaMkAC5EnryqY0,2018,No,No,No,FSE,defect prediction,Sequence,,,,,,
87,Automatically learning semantic features for defect prediction,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886912&casa_token=L-8JQwtpCWsAAAAA:zTk1HcllQ63oTuQBVQ1HTS-I0yBunwSUAI8VZ3I5YGDbddiEQvE9G2NV7EY2q3l-Fktj6na2LaA&tag=1,2016,No,Yes,Yes,ICSE,defect prediction,Deep Belief Network,none,,,,,
88,Neuro-symbolic program corrector for introductory programming assignments,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/stamp/stamp.jsp?tp=&arnumber=8453063,2018,No,No,Yes,ICSE,other,Sequence,,,,,,
89,Automatic feature learning for predicting vulnerable software components,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540022&casa_token=JXAQFIN0kasAAAAA:iMyYWthvcFTUpd2cOGGQkt0fawpJWXYQ6dAx4cfBFMdzVsRXYcLnjunc0xzGES7w8ZVZUHQBlaY&tag=1,2021,No,No,Yes,TSE,defect prediction,Sequence,none,,,,,
90,Machine learning-based prototyping of graph- ical user interfaces for mobile apps,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374985&casa_token=HXn6YbFxAjcAAAAA:piyG1dkgceE9PTtr2uaYB4_5Q5wsFGLI_3vMkWaVz0YwJEPc5CXKF6CAMhIW4gCAR1UJ4qXIXJI&tag=1,2020,Yes,Yes,Yes,TSE,Code Synthesis,Convolutional,none,,,,,
91,On the naturalness of proofs,https://dl.acm.org/doi/pdf/10.1145/3236024.3264832?casa_token=FYpKeDzQkd0AAAAA:yQYGrXOUai3EiRbw6umCAjjjmvEKFwPBXGVMDn-pxzNs1BNpdhor4QWQetc9Ehwm6S4PAzGnmEJRZHY,2018,Yes,Yes,Yes,FSE,Code Synthesis,Sequence,none,,,,,
92,Robustfill: Neural program learning under noisy I/O,https://arxiv.org/pdf/1703.07469.pdf,2017,No,No,No,JMLR,Code Synthesis,Sequence,,,,,,
93,Deepcoder: Learning to write programs,https://arxiv.org/pdf/1611.01989.pdf,2017,No,No,No,ICLR,Code Synthesis,Sequence,,,,,,
94,TagDC:A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,https://www.sciencedirect.com/science/article/pii/S0164121220301941,2020,Yes,Yes,Yes,JSS,language processing,Feedforward,dev set,,,,,
,,,,,,,,,word2vec,,,,,,
,,,,,,,,,Sequence,,,,,,
,,,,,,,,,Convolutional,,,,,,
95,Deep green: Modelling time-series of software energy consumption,https://softwareprocess.es/pubs/romansky2017ICSME-timeseries.pdf,2017,Yes,Yes,Yes,ICSME,Software Energy Metrics,Feedforward,cross validation,,,,,
,,,,,,,,,Sequence,,,,,,
96,αdiff: Cross-version binary code similarity detection with dnn,https://dl.acm.org/doi/pdf/10.1145/3238147.3238199?casa_token=L0MuBqiuhwEAAAAA:sKPc3BxQdHHiA_ssaBTFEnci7-rIpHOIkKGCFoOl33yr1PFpk1Gi6cijJQJxxIiLiwagtas1Yr7RZhE,2018,Yes,Yes,No,ASE,code similarity,Convolutional,,,,,,
97,Vulseeker: A semantic learning based vulnerability seeker for cross-platform binary,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9000027&casa_token=agQU2rU2E7gAAAAA:c9Z-A6eKa6X1NAq1OMDi3OSng6Cp-0AQOFb6bbWp4ShinzXq-4aQuj7R0BUMHG8nShicyPH3oI4&tag=1,2018,Yes,Yes,No,ASE,code similarity,DNN,,,,,,
98,Machine/deep learning for software engineering: A systematic literature review,https://ieeexplore.ieee.org/iel7/32/4359463/09772253.pdf,2022,,,,TSE,,,,,,,,
99,Learning Python Code Suggestion with a Sparse Pointer Network,https://arxiv.org/pdf/1611.08307.pdf,2017,Yes,Yes,Yes,ICLR,Code Synthesis,Sequence,dev set,,,,,
100,DeepAM: Migrate APIs with Multi-modal Sequence to Sequence Learning,https://arxiv.org/pdf/1704.07734.pdf,2017,No,No,Yes,IJCAI,language processing,Sequence,none,,,,,
101,Automatically Generating Commit Messages from Diffs using Neural Machine Translation,https://arxiv.org/pdf/1708.09492.pdf,2017,Yes,Yes,Yes,ASE,language processing,Sequence,none,,,,,
102,Continual Prediction of Bug-Fix Time Using DeepLearning-Based Activity Stream Embedding,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8955829,2020,No,Yes,No,IEEE Access,issue close time,Sequence,none,,,,,
103,An empirical investigation into learning bug-fixing patches in the wild via neural machine translation.,http://www.cs.wm.edu/~denys/pubs/ASE'18-Learning-Bug-Fixes-NMT.pdf,2018,Yes,Yes,No,TOSEM,Program Repair,Sequence,dev set,,,,,
104,Automatic text input generation for mobile testing,https://ieeexplore.ieee.org/document/7985701,2017,Yes,No,No,ICSE,Testing,word2vec,none,,,,,
,,,,,,,,,Sequence,,,,,,
105,Easy over Hard: A Case Study on Deep Learning,https://www.researchgate.net/publication/318873760_Easy_over_hard_a_case_study_on_deep_learning,2017,Yes,Yes,Yes,FSE,language processing,word2vec,none,,,,,
106,On the Value of Oversampling for Deep Learning in Software Defect Prediction,https://arxiv.org/abs/2008.03835,2021,Yes,Yes,Yes,TSE,defect prediction,Feedforward,epsilon dom,,,,,
107,Automatically recommending components for issue reports using deep learning,https://link.springer.com/article/10.1007/s10664-020-09898-5,2021,Yes,Yes,Yes,EMSE,language processing,Sequence,dev set,,,,,
,,,,,,,,,Feedforward,,,,,,
108,Old but Gold: Reconsidering the value of feedforward learners for software analytics,https://arxiv.org/abs/2101.06319,2022,Yes,Yes,Yes,arXiv,issue close time,Feedforward,tabu search,,,,,
109,Evaluating network embedding techniques’performances in software bug prediction,https://link.springer.com/content/pdf/10.1007/s10664-021-09965-5.pdf,2021,Yes,Yes,No,EMSE,defect prediction,Embedding,none,,,,,
110,node2defect: using network embedding to improve software defect prediction,https://dl.acm.org/doi/pdf/10.1145/3238147.3240469,2018,No,Yes,Yes,ASE,defect prediction,Embedding,none,,,,,
111,Semi-supervised Log-based Anomaly Detection via Probabilistic Label Estimation,https://drive.google.com/file/d/1H4p-fv1KY81HfbCDsrf3tX8ZP2p7xqp8/view,2021,Yes,Yes,Yes,ICSE,language processing,Sequence,none,,,,,
,,,,,,,,,word2vec,,,,,,
112,A hybrid code representation learning approach for predicting method names,https://www.sciencedirect.com/science/article/abs/pii/S0164121221001084,2021,Yes,Yes,No,JSS,language processing,Sequence,none,,,,,
113,Easy-to-Deploy API Extraction by Multi-Level Feature Embedding and Transfer Learning,https://ieeexplore.ieee.org/abstract/document/8865646,2021,Yes,Yes,Yes,TSE,language processing,Sequence,dev set,,,,,
,,,,,,,,,Convolutional,,,,,,
,,,,,,,,,Embedding,,,,,,
114,API Method Recommendation without Worrying about the Task-API Knowledge Gap,https://ieeexplore.ieee.org/abstract/document/9000025,2018,Yes,Yes,Yes,ASE,language processing,word2vec,none,,,,,
115,Mining Likely Analogical APIs Across Third-PartyLibraries via Large-Scale Unsupervised APISemantics Embedding,https://ieeexplore-ieee-org.prox.lib.ncsu.edu/document/8630054,2021,No,Yes,Yes,TSE,language processing,word2vec,none,,,,,
,,,,,,,,,Sequence,,,,,,
116,funcGNN: A Graph Neural Network Approach to Program Similarity,https://dl.acm.org/doi/pdf/10.1145/3382494.3410675,2020,Yes,Yes,Yes,ESEM,code similarity,Attention,none,,,,,
,,,,,,,,,Graph,,,,,,
117,Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,http://academic.hugochan.net/papers/ICLR21.pdf,2021,No,Yes,Yes,ICLR,code comprehension,Sequence,none,,,,,
,,,,,,,,,Graph,,,,,,
,,,,,,,,,Attention,,,,,,
118,Software defect prediction based on enhanced metaheuristic feature selection optimization and a hybrid deep neural network,https://www-sciencedirect-com.prox.lib.ncsu.edu/science/article/pii/S0164121221001230,2021,No,Yes,Yes,JSS,defect prediction,Convolutional,grid search,,,,,
119,Post2Vec: Learning Distributed Representations of Stack Overflow Posts,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9469219&tag=1,2022,Yes,Yes,No,TSE,language processing,Convolutional,grid search,,,,,
,,,,,,,,,Sequence,,,,,,
120,Automating the Removal of Obsolete TODO Comments,https://arxiv.org/pdf/2108.05846.pdf,2021,Yes,Yes,No,FSE,language processing,Sequence,none,,,,,
,,,,,,,,,Feedforward,,,,,,
121,Why and what happened? Aiding bug comprehension with automated category and causal link identification,https://link-springer-com.prox.lib.ncsu.edu/content/pdf/10.1007/s10664-021-10010-8.pdf,2021,No,No,Yes,EMSE,language processing,Attention,sequential optimization,,,,,
,,,,,,,,,word2vec,,,,,,
122,Software Vulnerability Detection via Deep Learning over Disaggregated Code Graph Representation,https://arxiv.org/ftp/arxiv/papers/2109/2109.03341.pdf,2021,No,No,No,arXiv,vulnerability detection,Sequence,dev set,,,,,
,,,,,,,,,Attention,,,,,,
,,,,,,,,,Graph,,,,,,
,,,,,,,,,Feedforward,,,,,,
123,Multi-triage: A multi-task learning framework for bug triage,https://www.sciencedirect.com/science/article/abs/pii/S0164121221002302,2022,No,No,No,JSS,language processing,Sequence,none,,,,,
,,,,,,,,,Feedforward,,,,,,
,,,,,,,,,Convolutional,,,,,,
124,Exploiting gated graph neural network for detecting and explaining self-admitted technical debts,https://www.sciencedirect.com/sdfe/reader/pii/S0164121222000036/pdf,2022,Yes,Yes,No,JSS,language processing,Graph,none,,,,,
,,,,,,,,,Embedding,,,,,,
125,SPT-Code: Sequence-to-Sequence Pre-Training for Learning Source Code Representations,https://arxiv.org/pdf/2201.01549.pdf,2022,Yes,Yes,No,ICSE,language processing,Sequence,none,,,,,
126,Jigsaw: Large Language Models meet Program Synthesis,https://arxiv.org/pdf/2112.02969.pdf,2022,No,Yes,No,ICSE,Code Synthesis,Sequence,none,,,,,
127,Bridging Pre-trained Models and Downstream Tasks for Source Code Understanding,https://arxiv.org/pdf/2112.02268.pdf,2022,Yes,Yes,No,ICSE,code comprehension,Sequence,none,,,,,
128,CLEAR: Contrastive Learning for API Recommendation,https://www.eecs.yorku.ca/~wangsong/papers/icse2022.pdf,2022,Yes,Yes,Yes,ICSE,language processing,Sequence,none,,,,,
129,CodeFill: Multi-token Code Completion by Jointly Learning from Structure and Naming Sequences,https://arxiv.org/pdf/2202.06689.pdf,2022,Yes,Yes,No,ICSE,Code Synthesis,Sequence,,,,,,
