,Priority,Status,NoComments,NoWatchers,NoAttachments,NoAttachedPatches,HasMergeCommit,NoCommits,NoAuthors,NoCommitters,NonSrcAddFiles,NonSrcDelFiles,NonSrcModFiles,NonSrcAddLines,NonSrcDelLines,SrcAddFiles,SrcDelFiles,SrcModFiles,SrcAddLines,SrcDelLines,TestAddFiles,TestDelFiles,TestModFiles,TestAddLines,TestDelLines,ResolutionTime
37,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
38,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,40,4,0,0,0,0,0,1
39,3,0,1,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,52,4,0,0,0,0,0,0
40,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,7
41,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,40,4,0,0,0,0,0,0
42,2,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,2,6,4,0,0,0,0,0,1
43,2,0,2,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,8,0,0,0,0,0,0,0
44,2,0,2,0,1,0,0,2,1,1,0,0,2,2,0,0,0,6,68,14,0,0,0,0,0,1
45,2,0,2,0,1,1,0,2,1,1,0,0,2,4,0,0,0,4,16,2,0,0,0,0,0,3
46,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
47,3,0,1,0,1,1,0,2,1,1,0,0,2,8,4,0,0,4,4,4,0,0,0,0,0,0
48,3,0,2,0,1,0,0,2,1,1,0,0,2,8,4,2,0,2,70,2,0,0,0,0,0,5
49,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
50,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,2,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,2,0,16,0,0,0,0,0,5
52,2,0,5,0,0,0,0,2,1,1,0,0,2,6,2,0,0,2,0,2,0,0,0,0,0,6
53,4,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,44,44,0,0,0,0,0,5
54,3,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,4,4,0,0,0,0,0,0
55,1,0,5,0,2,0,0,2,1,1,0,0,2,2,0,0,0,4,28,8,0,0,0,0,0,0
56,3,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,4,26,2,0,0,0,0,0,0
57,2,0,11,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,6,0,0,0,0,0,0,5
58,2,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,62,2,0,0,0,0,0,0
59,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
62,3,0,3,0,1,0,0,2,1,1,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,4
63,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,8,12,0,0,0,0,0,2
64,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,0,4,0,1,0,0,2,1,1,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,1
66,3,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,1
67,3,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,86,86,0,0,0,0,0,0
68,2,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,12,256,202,0,0,0,0,0,0
69,3,0,2,0,2,0,0,2,1,1,0,0,2,4,0,0,0,4,64,2,0,0,0,0,0,3
70,2,0,6,0,2,2,0,6,2,2,0,0,6,6,4,0,0,12,136,86,0,0,0,0,0,5
71,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
72,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,3,0,4,0,1,0,0,2,1,1,0,0,2,6,0,0,0,2,6,2,0,0,0,0,0,1
74,3,0,3,0,2,0,0,2,1,1,0,0,2,4,0,0,0,10,84,56,0,0,0,0,0,1
75,2,0,1,0,1,1,0,2,1,1,0,0,2,2,0,0,0,6,50,32,0,0,0,0,0,1
76,2,0,3,0,2,1,0,2,1,1,0,0,2,4,0,0,0,4,92,12,0,0,0,0,0,1
77,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
79,2,0,2,0,1,0,0,2,1,1,0,0,2,2,0,0,0,4,154,78,0,0,0,0,0,0
80,3,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,4,52,10,0,0,0,0,0,1
81,2,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
82,2,0,6,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,4,4,0,0,0,0,0,7
83,2,0,1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,6,72,60,0,0,0,0,0,0
84,1,0,7,0,1,1,0,4,1,1,0,0,2,4,0,0,0,4,34,4,0,0,0,0,0,4
85,1,0,1,0,1,0,0,2,1,1,0,0,2,4,0,0,0,4,40,2,0,0,0,0,0,0
86,2,0,10,0,2,2,0,2,1,1,0,0,2,4,0,0,0,4,28,26,0,0,0,0,0,6
87,2,0,4,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,3
88,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
89,2,0,2,0,1,0,0,2,1,1,0,0,2,2,2,0,0,4,12,4,0,0,0,0,0,0
90,2,0,1,0,0,0,0,2,1,1,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,2
91,2,0,2,0,1,1,0,2,1,1,0,0,2,8,2,0,0,2,4,4,0,0,0,0,0,0
92,2,0,10,0,1,0,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,4
93,3,0,2,0,2,0,0,2,1,1,0,0,2,6,6,0,0,4,36,8,0,0,0,0,0,1
94,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,22,0,0,0,0,0,0,0
95,2,0,1,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,22,2,0,0,0,0,0,0
96,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
97,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
98,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,2,0,12,0,1,1,0,4,1,1,0,0,2,2,0,0,0,8,66,20,0,0,0,0,0,4
101,2,0,27,0,3,3,0,6,2,2,0,0,6,10,0,0,0,6,116,20,0,0,0,0,0,7
102,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
103,1,0,5,0,1,0,0,2,1,1,0,0,2,2,0,0,0,2,34,28,0,0,0,0,0,0
104,0,0,13,0,2,0,0,2,1,1,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,4
105,2,0,4,0,2,2,0,4,1,1,0,0,2,2,0,0,0,8,62,14,0,0,0,0,0,2
106,2,1,5,0,1,1,1,3,1,1,0,0,1,1,0,0,0,4,50,14,0,0,0,0,0,7
107,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,6,6,0,0,0,0,0,3
108,0,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,26,8,0,0,0,0,0,0
109,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,2,0,2,0,0,0,0,2,1,1,0,0,4,12,4,0,0,0,0,0,0,0,0,0,0,1
111,2,0,2,0,0,0,0,4,1,1,0,0,2,2,0,0,0,6,24,6,0,0,0,0,0,0
112,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
113,2,0,5,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0
114,2,0,7,0,2,2,0,4,2,2,0,0,2,2,0,0,0,6,24,18,0,0,0,0,0,1
115,2,0,4,0,0,0,0,4,1,1,0,0,2,2,0,0,0,6,34,8,0,0,0,0,0,1
116,2,0,4,0,1,0,0,2,1,1,0,0,2,2,0,0,0,4,58,4,0,0,0,0,0,2
117,2,0,6,0,0,0,0,2,1,1,0,0,2,2,0,0,0,8,24,22,0,0,0,0,0,1
118,2,0,3,0,0,0,0,2,1,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,1
119,2,1,4,0,0,0,0,2,1,1,0,0,1,1,0,0,0,4,134,0,0,0,0,0,0,7
120,2,0,2,0,1,0,0,2,1,1,0,0,2,2,0,0,0,4,116,6,0,0,0,0,0,3
121,2,0,3,0,1,1,0,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0
122,2,0,8,0,0,0,0,6,2,2,0,0,2,2,0,0,0,8,84,18,0,0,0,0,0,4
123,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,12,268,96,0,0,0,0,0,0
124,2,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,15,1,0,0,0,0,0,7
125,2,0,3,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,6,2,0,0,0,0,0,0
126,2,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,16,6,0,0,0,0,0,0
127,2,0,3,0,0,0,0,2,1,1,0,0,2,6,0,0,0,2,8,12,0,0,0,0,0,0
128,2,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
129,1,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4,28,6,0,0,0,0,0,3
130,2,0,2,0,1,0,0,2,1,1,0,0,2,2,0,0,0,2,2,4,0,0,0,0,0,2
131,2,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,1
132,2,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,2,0,4,0,0,0,0,0,0
133,2,0,2,0,1,0,0,2,1,1,0,0,2,6,0,0,0,2,4,4,0,0,0,0,0,0
134,2,0,4,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,50,6,0,0,0,0,0,0
135,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,58,56,0,0,0,0,0,0
136,0,0,8,0,0,0,0,4,1,1,0,0,2,12,10,0,0,8,66,28,0,0,0,0,0,3
137,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,6,0,8,734,396,0,0,0,0,0,0
138,2,0,2,0,1,0,0,2,1,1,0,0,2,4,2,0,0,2,8,8,0,0,0,0,0,1
139,2,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,4,42,28,0,0,0,0,0,0
140,2,0,2,0,1,0,0,2,1,1,0,0,2,2,0,0,0,2,20,20,0,0,0,0,0,1
141,2,0,5,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,8,4,0,0,0,0,0,1
142,2,0,3,0,1,1,0,2,1,1,0,0,2,4,0,0,0,4,16,2,0,0,0,0,0,0
143,2,0,7,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,12,0,0,0,0,0,0,0
144,3,0,3,0,1,1,0,2,1,1,0,0,2,4,0,0,0,2,4,4,0,0,0,0,0,0
145,2,0,2,0,0,0,0,2,1,1,0,0,2,8,4,0,0,4,50,38,0,0,0,0,0,0
146,2,0,2,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,0
147,0,0,6,0,1,0,0,2,1,1,0,0,2,2,0,0,0,10,2,1636,0,0,0,0,0,6
148,2,0,14,0,2,0,0,2,1,1,0,0,4,14,6,0,0,2,2,2,0,0,0,0,0,1
149,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,390,290,0,0,0,0,0,1
150,2,0,3,0,2,2,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0
151,3,0,3,0,1,1,0,2,1,1,0,0,2,4,0,0,0,2,10,2,0,0,0,0,0,0
152,2,0,2,0,0,0,0,2,1,1,0,0,2,4,0,0,0,6,90,14,0,0,0,0,0,2
153,4,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,5,8,0,0,0,0,0,7
154,2,1,3,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,13,0,0,0,0,0,0,7
155,2,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,4,4,0,0,0,0,0,0
156,2,0,2,0,0,0,0,2,1,1,0,0,4,4,2,0,0,2,4,4,0,0,0,0,0,1
157,2,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,8,8,0,0,0,0,0,0
158,2,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0
159,3,0,5,0,1,1,0,4,1,1,0,0,2,4,0,0,0,4,20,18,0,0,0,0,0,4
160,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
161,2,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0
162,2,0,3,0,1,1,0,2,1,1,0,0,4,6,4,0,0,2,4,4,0,0,0,0,0,0
163,2,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,16,4,0,0,0,0,0,3
164,3,0,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,12,0,0,0,0,0,0,0
165,3,0,2,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0
166,3,0,2,0,0,0,0,2,1,1,0,0,2,8,6,0,0,6,26,10,0,0,0,0,0,2
167,2,0,2,0,1,0,0,2,1,1,0,0,2,4,0,0,0,4,52,30,0,0,0,0,0,0
168,2,0,3,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,30,0,0,0,0,0,0,0
169,2,0,2,0,0,0,0,2,1,1,0,0,4,14,0,0,0,8,64,292,0,0,0,0,0,0
170,2,0,3,0,1,0,0,2,1,1,0,0,2,2,0,0,0,4,40,0,0,0,0,0,0,7
171,1,0,1,0,2,1,0,2,1,1,0,0,2,4,0,0,0,4,6,6,0,0,0,0,0,7
172,3,0,1,0,0,0,0,2,1,1,0,0,2,6,0,0,0,4,34,2,0,0,0,0,0,7
173,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
174,2,0,2,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,32,10,0,0,0,0,0,7
175,3,0,3,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,6,2,0,0,0,0,0,2
176,2,0,4,0,0,0,0,2,1,1,0,0,2,6,0,2,0,2,144,4,0,0,0,0,0,1
177,2,0,6,0,0,0,0,2,1,1,0,0,2,2,0,0,0,4,112,2,0,0,0,0,0,5
178,3,1,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,14,0,0,0,0,0,0,7
179,2,1,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,7
180,3,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,6
181,2,0,2,0,0,0,0,2,1,1,0,0,4,12,10,0,0,0,0,0,0,0,0,0,0,5
182,3,0,3,0,2,1,0,2,1,1,0,0,2,2,0,0,0,2,28,16,0,0,0,0,0,6
183,2,0,3,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,8,10,0,0,0,0,0,1
184,2,0,2,0,0,0,0,2,1,1,0,0,2,6,4,0,0,6,42,14,0,0,0,0,0,1
185,2,0,2,0,0,0,0,2,1,1,0,0,2,6,4,0,0,6,42,14,0,0,0,0,0,1
186,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
187,3,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,2,8,8,0,0,0,0,0,1
188,2,0,3,0,1,1,0,2,1,1,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0
189,2,0,2,0,1,1,0,2,1,1,0,0,6,24,18,0,0,0,0,0,0,0,0,0,0,5
190,2,0,3,0,0,0,0,2,1,1,0,0,2,4,0,0,0,4,38,4,0,0,0,0,0,1
191,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,2,1,4,0,0,0,0,2,1,1,4,0,3,28,1,1,0,5,305,51,0,0,0,0,0,7
193,2,0,3,0,1,1,0,2,1,1,0,0,2,2,0,0,0,4,140,20,0,0,0,0,0,0
194,2,0,7,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,28,8,0,0,0,0,0,5
195,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,2,0,2,0,1,1,0,2,1,1,0,0,2,4,0,0,0,2,4,4,0,0,0,0,0,0
197,3,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1
198,2,0,3,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,4,2,0,0,0,0,0,3
199,3,0,7,0,0,0,0,3,1,1,0,0,3,8,0,0,0,3,4,4,0,0,0,0,0,7
200,2,0,3,0,1,1,0,2,1,1,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,1
201,2,0,2,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,8,2,0,0,0,0,0,2
202,2,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,12,6,0,0,0,0,0,3
203,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
204,3,0,1,0,0,0,0,2,1,1,0,0,2,6,0,0,0,2,12,8,0,0,0,0,0,2
205,2,0,2,0,0,0,0,2,1,1,0,0,2,6,0,0,0,4,8,8,0,0,0,0,0,0
206,2,1,2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,10,1,0,0,0,0,0,7
207,2,0,1,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,2,2,0,0,0,0,0,1
208,2,0,2,0,1,1,0,2,1,1,0,0,2,4,0,0,0,2,4,0,0,0,0,0,0,0
209,2,0,2,0,0,0,0,2,1,1,0,0,2,4,0,0,0,2,14,4,0,0,0,0,0,0
210,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,2,0,1,0,0,0,0,2,1,1,0,0,2,2,0,0,0,2,20,14,0,0,0,0,0,0
212,3,0,5,0,0,0,0,3,1,1,0,0,1,2,0,0,0,2,14,0,0,0,0,0,0,6
213,2,0,3,0,1,0,0,4,1,1,0,0,4,12,0,0,0,6,50,22,0,0,0,0,0,0
214,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,2,0,9,0,1,1,0,1,1,1,0,0,1,2,0,0,0,1,2,2,0,0,0,0,0,5
216,2,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,42,0,0,0,0,0,0,7
217,2,0,5,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1,34,35,0,0,0,0,0,0
218,2,0,7,0,0,0,0,2,1,1,0,0,2,7,0,0,0,2,28,6,0,0,0,0,0,1
219,2,0,3,0,0,0,0,1,1,1,0,0,1,2,0,0,0,4,52,3,0,0,0,0,0,0
220,2,1,13,0,1,1,1,3,2,1,0,0,4,20,12,1,0,5,104,47,0,0,0,0,0,5
221,3,0,3,0,3,3,0,1,1,1,0,0,1,2,0,1,0,1,47,6,0,0,0,0,0,1
222,2,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0
223,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
224,2,1,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,3,16,1,0,0,0,0,0,1
225,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,4,4,0,0,0,0,0,1
226,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
